,*Warn,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2008_state_gsms-Found,Server2008_state_gsms-Penalties,Server2008_state_gsms-Remaining,Server2008_state_gsms-Score,Server2008_state_gsms-Time,Server2008_state_gsms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,Ubuntu14_state_sms-Found,Ubuntu14_state_sms-Penalties,Ubuntu14_state_sms-Remaining,Ubuntu14_state_sms-Score,Ubuntu14_state_sms-Time,Ubuntu14_state_sms-Warn,Windows10_state_sms-Found,Windows10_state_sms-Penalties,Windows10_state_sms-Remaining,Windows10_state_sms-Score,Windows10_state_sms-Time,Windows10_state_sms-Warn
404,,62.0,Middle School,404.0,05:45,3,10,0,28,31, 2:49,,AR,4.0,,10-1190,Middle School,7,0,27,15, 0:56,,10,0,28,16, 1:44,
405,,61.0,Middle School,405.0,05:41,3,6,2,32,2, 5:20,,CA,87.0,,10-5129,Middle School,13,0,21,31, 5:38,,16,2,22,28, 5:39,
406,,61.0,Middle School,406.0,05:24,3,5,0,33,8, 5:24,,CO,33.0,,10-2626,Middle School,12,0,22,36, 5:23,,8,0,30,17, 5:14,
407,,60.0,Middle School,407.0,04:57,3,15,0,23,37, 1:50,,RI,14.0,,10-5395,Middle School,0,0,34,0, 1:01,,12,0,26,23, 1:58,
408,T,59.0,Middle School,408.0,06:27,3,10,0,28,28, 5:26,,CA,88.0,,10-5318,Middle School,0,0,34,0, 0:15,,9,0,29,31, 5:47,
409,,59.0,Middle School,409.0,05:45,3,12,0,26,25, 5:45,,NE,1.0,,10-2111,Middle School,2,0,32,8, 5:44,,18,2,20,26, 5:44,
410,,58.0,Middle School,410.0,02:58,3,10,0,28,18, 2:57,,HI,18.0,,10-4679,Middle School,7,0,27,18, 2:58,,8,0,30,22, 2:57,
411,,58.0,Middle School,411.0,05:46,3,11,0,27,20, 5:45,,NJ,7.0,,10-4010,Middle School,7,0,27,17, 3:23,,9,0,29,21, 3:03,
412,,58.0,Middle School,412.0,06:00,3,7,0,31,23, 6:00,,CA,89.0,,10-4872,Middle School,0,0,34,0, 1:14,,8,0,30,35, 4:51,
413,,57.0,Middle School,413.0,03:36,3,9,0,29,20, 1:13,,VA,32.0,,10-4556,Middle School,10,0,24,22, 1:05,,12,2,26,15, 1:13,
414,,57.0,Middle School,414.0,05:34,3,4,0,34,8, 5:16,,IL,6.0,,10-5392,Middle School,11,1,23,23, 5:26,,14,0,24,26, 5:28,
415,T,55.0,Middle School,415.0,32:25,3,6,1,32,4, 3:28,,IL,7.0,,10-5321,Middle School,4,0,30,11, 3:24,,15,0,23,40,32:25,T
416,,55.0,Middle School,416.0,04:07,3,7,0,31,15, 0:39,,RI,15.0,,10-4766,Middle School,0,0,34,0, 0:05,,17,0,21,40, 3:08,
417,,55.0,Middle School,417.0,05:43,3,10,0,28,21, 5:40,,GA,19.0,,10-1502,Middle School,7,0,27,18, 5:43,,8,0,30,16, 5:38,
418,,54.0,Middle School,418.0,05:39,3,8,0,30,12, 5:36,,CA,90.0,,10-5127,Middle School,11,0,23,25, 5:39,,10,0,28,17, 5:36,
419,,54.0,Middle School,419.0,05:49,3,8,0,30,16, 5:39,,KS,7.0,,10-0170,Middle School,7,0,27,18, 5:42,,17,2,21,20, 5:49,
420,,53.0,Middle School,420.0,05:32,3,8,0,30,18, 5:30,,CA,91.0,,10-1451,Middle School,5,0,29,13, 5:32,,8,0,30,22, 5:32,
421,,53.0,Middle School,421.0,04:20,3,11,0,27,29, 2:15,,AL,20.0,,10-2016,Middle School,0,0,34,0, 0:15,,12,2,26,24, 1:39,
422,,53.0,Middle School,422.0,05:04,3,5,1,33,0, 5:02,,CAN,7.0,,10-0961,Middle School,8,0,26,23, 4:40,,10,0,28,30, 4:42,
423,,53.0,Middle School,423.0,05:26,3,8,0,30,11, 5:26,,AZ,10.0,,10-2315,Middle School,5,0,29,13, 5:26,,14,0,24,29, 5:26,
424,,53.0,Middle School,424.0,05:58,3,8,0,30,11, 4:10,,TX,48.0,,10-4127,Middle School,9,0,25,22, 5:52,,11,0,27,20, 5:57,
425,,52.0,Middle School,425.0,00:57,2,,,,,,,HI,19.0,,10-3704,Middle School,7,0,27,24, 0:57,,9,0,29,28, 0:49,
426,,52.0,Middle School,426.0,05:16,3,11,1,27,17, 2:08,,CA,92.0,,10-0268,Middle School,7,0,27,15, 1:36,,12,2,26,20, 5:16,
427,,52.0,Middle School,427.0,05:46,3,8,0,30,30, 5:45,,SC,15.0,,10-0468,Middle School,3,0,31,7, 5:45,,10,0,28,15, 5:45,
