,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2019_cpxiii_r1_hsms-**,Server2019_cpxiii_r1_hsms-Found,Server2019_cpxiii_r1_hsms-Penalties,Server2019_cpxiii_r1_hsms-Remaining,Server2019_cpxiii_r1_hsms-Score,Server2019_cpxiii_r1_hsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Windows10_cpxiii_r1_hsms-**,Windows10_cpxiii_r1_hsms-Found,Windows10_cpxiii_r1_hsms-Penalties,Windows10_cpxiii_r1_hsms-Remaining,Windows10_cpxiii_r1_hsms-Score,Windows10_cpxiii_r1_hsms-Time
160,160,,0,3.2,140,Middle School,160,04:53:55,2,,15,0,6,64, 4:53,FL,6,,13-0423,Middle School,143.2,,15,0,5,76, 3:50
161,161,,0,4.2,139,Middle School,161,05:57:58,2,,14,0,7,70, 5:56,WA,1,,13-3856,Middle School,143.2,,13,0,7,69, 2:04
162,162,,0,6,137,Middle School,162,04:41:55,2,,11,0,10,52, 4:40,AL,11,,13-3183,Middle School,143,,17,0,3,85, 4:41
163,163,,0,0,143,Middle School,163,05:31:56,2,,14,0,7,66, 5:31,CAN,4,,13-3010,Middle School,143,,15,0,5,77, 5:27
164,164,,0,10.2,132,Middle School,164,05:43:56,2,,12,0,9,51, 5:43,AL,12,,13-0849,Middle School,142.2,,16,0,4,81, 5:41
165,165,,0,0,142,Middle School,165,04:49:56,2,,15,0,6,74, 4:49,GA,19,,13-0938,Middle School,142,,13,0,7,68, 4:49
166,166,,0,0,142,Middle School,166,05:50:55,2,,14,0,7,71, 5:50,NJ,3,,13-2063,Middle School,142,,15,1,5,71, 5:46
167,167,,0,3.3,138,Middle School,167,05:57:57,2,,15,0,6,75, 5:57,CA,48,,13-2644,Middle School,141.3,,12,0,8,63, 4:27
168,168,,0,4.2,137,Middle School,168,03:28:56,2,,14,0,7,66, 3:28,OR,4,,13-1270,Middle School,141.2,,15,1,5,71, 3:21
169,169,,0,0,141,Middle School,169,05:11:59,2,,15,0,6,69, 5:10,VA,7,,13-2584,Middle School,141,,14,0,6,72, 5:11
170,170,,0,3,138,Middle School,170,05:56:09,2,,13,0,8,62, 5:55,OK,2,,13-0080,Middle School,141,,16,1,4,76, 5:54
171,171,,0,3.6,137,Middle School,171,05:30:56,2,,13,0,8,67, 5:30,CO,7,,13-4316,Middle School,140.6,,13,0,7,70, 4:53
172,172,,0,7.6,133,Middle School,172,05:57:56,2,,14,0,7,60, 5:57,AL,13,,13-0850,Middle School,140.6,,14,0,6,73, 5:57
173,173,,0,0,140,Middle School,173,03:49:57,2,,16,0,5,68, 3:47,GA,20,GTMS,13-0039,Middle School,140,,15,0,5,72, 3:49
174,174,,0,5.4,134,Middle School,174,04:59:55,2,,13,0,8,62, 4:33,AL,14,,13-3182,Middle School,139.4,,14,0,6,72, 4:59
175,175,,0,4.2,135,Middle School,175,05:18:57,2,,12,0,9,57, 5:18,HI,6,,13-2742,Middle School,139.2,,15,0,5,78, 5:18
176,176,,0,0,138,Middle School,176,05:44:56,2,,14,0,7,67, 5:44,CAN,5,,13-3011,Middle School,138,,14,0,6,71, 5:11
177,177,,0,5.8,132,Middle School,177,05:43:57,2,,11,0,10,50, 5:43,TX,21,,13-1155,Middle School,137.8,,16,0,4,82, 5:42
178,178,,0,0,137,Middle School,178,02:05:55,2,,14,0,7,65, 2:05,IL,1,,13-1608,Middle School,137,,14,0,6,72, 1:56
179,179,,0,0,137,Middle School,179,04:56:57,2,,15,0,6,73, 4:56,HI,7,,13-2120,Middle School,137,,12,0,8,64, 4:34
180,180,,0,4.9,132,Middle School,180,05:46:57,2,,12,0,9,56, 5:44,TX,22,,13-1156,Middle School,136.9,,15,0,5,76, 5:46
181,181,,0,17.5,119,Middle School,181,05:16:03,2,,12,0,9,56, 3:34,CA,49,,13-2940,Middle School,136.5,,12,0,8,63, 1:37
182,182,,0,3,133,Middle School,182,04:56:57,2,,14,0,7,70, 4:56,GA,21,Chicken Defenders,13-1716,Middle School,136,,12,0,8,63, 4:41
183,183,,0,0,136,Middle School,183,05:16:56,2,,15,1,6,64, 5:07,VA,8,,13-2583,Middle School,136,,14,0,6,72, 5:16
184,184,,0,4.8,131,Middle School,184,04:56:57,2,,14,0,7,64, 4:56,GA,22,SIMS,13-3137,Middle School,135.8,,14,0,6,67, 4:56
185,185,,0,3.6,132,Middle School,185,05:32:56,2,,13,0,8,60, 5:21,MI,3,,13-0709,Middle School,135.6,,14,0,6,72, 5:29
186,186,,0,4.5,131,Middle School,186,02:41:18,2,,15,0,6,75, 0:56,CAN,6,,13-2018,Middle School,135.5,,10,0,10,56, 2:41
187,187,,0,0,135,Middle School,187,04:42:56,2,,13,0,8,67, 4:42,OH,2,,13-1925,Middle School,135,,13,0,7,68, 4:42
188,188,,0,4,131,Middle School,188,05:45:55,2,,13,0,8,54, 5:45,TX,23,,13-3483,Middle School,135,,15,0,5,77, 5:41
189,189,T,0,4.2,130,Middle School,189,41:49:03,2,T,15,0,6,64,41:44:00,VA,9,,13-1812,Middle School,134.2,,15,0,5,66, 5:34
190,190,,0,4.4,129,Middle School,190,05:39:57,2,,13,0,8,54, 4:33,CA,50,,13-2938,Middle School,133.4,,14,0,6,75, 5:39
191,191,,0,4.8,128,Middle School,191,05:55:07,2,,13,0,8,60, 5:54,CA,51,,13-2975,Middle School,132.8,,13,0,7,68, 5:37
192,192,,0,4.2,128,Middle School,192,04:32:55,2,,10,0,11,47, 4:30,GA,23,,13-2766,Middle School,132.2,,16,0,4,81, 4:32
193,193,,0,4.9,127,Middle School,193,04:32:56,2,,12,0,9,49, 4:31,LA,7,,13-0738,Middle School,131.9,,15,0,5,78, 4:32
194,194,,0,0,131,Middle School,194,05:59:57,2,,14,0,7,64, 5:58,JPN,2,,13-2964,Middle School,131,,15,2,5,67, 5:54
195,195,,0,17.4,113,Middle School,195,04:33:55,2,,13,0,8,65, 4:33,NH,2,,13-3328,Middle School,130.4,,8,0,12,48, 4:09
196,196,,0,2.4,128,Middle School,196,05:37:57,2,,13,0,8,61, 5:31,CA,52,,13-3317,Middle School,130.4,,15,1,5,67, 5:37
197,197,,0,3.3,127,Middle School,197,04:59:56,2,,15,1,6,70, 3:59,GA,24,,13-2800,Middle School,130.3,,13,2,7,57, 4:59
198,198,,0,4.2,126,Middle School,198,04:10:57,2,,8,0,13,35, 2:54,AL,15,,13-3175,Middle School,130.2,,18,0,2,91, 4:10
199,199,,0,5.4,124,Middle School,199,04:49:57,2,,13,0,8,60, 4:46,SC,3,,13-4415,Middle School,129.4,,12,0,8,64, 4:49
200,200,,0,0,129,Middle School,200,04:57:57,2,,13,0,8,61, 4:57,JPN,3,,13-2096,Middle School,129,,13,0,7,68, 4:57
201,201,,0,0,129,Middle School,201,03:25:56,2,,13,0,8,60, 1:25,FL,7,,13-2065,Middle School,129,,13,0,7,69, 3:25
202,202,,0,0,128,Middle School,202,05:36:56,2,,11,0,10,45, 5:26,SC,4,,13-4117,Middle School,128,,16,0,4,83, 5:36
203,203,,0,12.8,115,Middle School,203,05:28:57,2,,11,0,10,45, 4:28,TX,24,,13-0808,Middle School,127.8,,13,0,7,70, 5:28
204,204,,0,0,127,Middle School,204,05:02:56,2,,13,0,8,54, 0:35,CA,53,,13-4151,Middle School,127,,14,0,6,73, 5:02
205,205,,0,0,126,Middle School,205,04:48:56,2,,14,0,7,65, 4:48,TX,25,,13-2854,Middle School,126,,11,0,9,61, 3:44
206,206,,0,12.8,113,Middle School,206,05:32:56,2,,11,1,10,47, 5:32,CA,54,,13-2003,Middle School,125.8,,12,0,8,66, 0:53
207,207,,0,0,125,Middle School,207,03:08:56,2,,15,0,6,63, 2:43,GA,25,,13-4706,Middle School,125,,14,0,6,62, 3:01
208,208,,0,1.8,123,Middle School,208,04:45:55,2,,11,0,10,46, 4:45,TX,26,,13-1507,Middle School,124.8,,15,0,5,77, 2:59
209,209,,0,3.6,121,Middle School,209,04:09:56,2,,14,0,7,59, 4:09,GA,26,GTMS,13-0030,Middle School,124.6,,14,0,6,62, 4:08
210,210,,0,2.4,122,Middle School,210,02:41:56,2,,12,0,9,50, 0:42,VA,10,,13-4843,Middle School,124.4,,14,0,6,72, 1:56
211,211,,0,2.4,122,Middle School,211,05:46:56,2,,12,0,9,62, 5:46,TX,27,,13-3484,Middle School,124.4,,11,0,9,60, 5:44
212,212,,0,4.2,120,Middle School,212,05:46:56,2,,11,0,10,54, 5:46,CO,8,,13-3901,Middle School,124.2,,14,1,6,66, 5:45
213,213,,0,3.6,120,Middle School,213,04:27:57,2,,11,0,10,58, 4:13,TX,28,,13-4344,Middle School,123.6,,12,0,8,62, 4:27
214,214,,0,0,123,Middle School,214,04:28:58,2,,13,0,8,60, 4:01,NJ,4,,13-0698,Middle School,123,,13,1,7,63, 4:26
215,215,,0,0,123,Middle School,215,05:06:58,2,,12,0,9,51, 4:53,CO,9,,13-0101,Middle School,123,,14,0,6,72, 5:06
216,216,,0,4.8,118,Middle School,216,05:46:56,2,,11,0,10,52, 5:46,TX,29,,13-3474,Middle School,122.8,,12,0,8,66, 5:45
217,217,,0,4.7,118,Middle School,217,05:53:01,2,,9,0,12,46, 5:53,NC,3,,13-1276,Middle School,122.7,,14,0,6,72, 5:51
218,218,,0,0,122,Middle School,218,03:58:56,2,,12,0,9,50, 3:53,GA,27,,13-2401,Middle School,122,,14,0,6,72, 3:58
219,219,,0,0,122,Middle School,219,05:32:57,2,,13,0,8,54, 4:05,CA,55,,13-1947,Middle School,122,,13,0,7,68, 5:32
220,220,,0,5.2,116,Middle School,220,02:52:56,2,,9,0,12,44, 2:52,HI,8,,13-2743,Middle School,121.2,,14,0,6,72, 2:49
221,221,,0,0,121,Middle School,221,05:26:56,2,,10,0,11,42, 4:34,SC,5,,13-4115,Middle School,121,,15,0,5,79, 5:26
222,222,,0,0,121,Middle School,222,05:30:56,2,,13,0,8,63, 5:30,NM,2,,13-1637,Middle School,121,,11,0,9,58, 5:29
223,223,,0,0,121,Middle School,223,05:31:14,2,,13,0,8,59, 5:17,CA,56,,13-2717,Middle School,121,,12,0,8,62, 5:31
224,224,,0,3.9,117,Middle School,224,05:33:56,2,,10,0,11,48, 5:33,AL,16,,13-0032,Middle School,120.9,,13,0,7,69, 5:17
225,225,T,0,8.1,112,Middle School,225,25:56:56,2,T,8,0,13,35,24:42:00,TX,30,,13-0943,Middle School,120.1,,15,0,5,77, 2:05
226,226,,0,0,120,Middle School,226,05:41:57,2,,12,0,9,55, 5:41,SD,1,,13-0058,Middle School,120,,12,0,8,65, 5:41
227,227,,0,0,119,Middle School,227,05:47:57,2,,12,0,9,55, 4:40,CA,57,,13-3790,Middle School,119,,12,0,8,64, 5:47
228,228,,0,0,119,Middle School,228,05:55:00,2,,13,0,8,60, 5:52,CAN,7,,13-4830,Middle School,119,,11,0,9,59, 5:47
229,229,,0,0,118,Middle School,229,05:53:03,2,,9,0,12,43, 4:57,AR,1,,13-0777,Middle School,118,,14,0,6,75, 5:52
230,230,,0,0,118,Middle School,230,05:55:58,2,,12,0,9,49, 5:35,TX,31,,13-0809,Middle School,118,,13,0,7,69, 5:55
231,231,,0,3.6,114,Middle School,231,05:17:56,2,,17,0,4,83, 5:16,GA,28,CMS,13-0616,Middle School,117.6,,6,0,14,31, 5:16
232,232,T,0,2,115,Middle School,232,06:14:54,2,,10,0,11,47, 5:44,CA,58,,13-3989,Middle School,117,T,13,0,7,68, 6:14
233,233,,0,0,117,Middle School,233,05:07:56,2,,10,0,11,50, 5:07,TX,32,,13-2855,Middle School,117,,13,0,7,67, 3:17
234,234,,0,4.2,112,Middle School,234,05:53:57,2,,9,0,12,46, 3:24,CA,59,,13-4890,Middle School,116.2,,13,0,7,66, 5:53
235,235,T,0,0,116,Middle School,235,06:00:54,2,T,14,0,7,64, 6:00,CA,60,,13-0581,Middle School,116,,9,0,11,52, 5:16
236,236,,0,1.8,114,Middle School,236,03:29:57,2,,12,0,9,52, 3:29,GA,29,GTMS,13-0033,Middle School,115.8,,13,0,7,62, 3:28
237,237,,0,2.4,113,Middle School,237,05:34:57,2,,12,0,9,51, 5:14,CAN,8,,13-0264,Middle School,115.4,,13,0,7,62, 5:34
238,238,,0,2.7,112,Middle School,238,03:03:56,2,,12,0,9,50, 1:26,TX,33,,13-2301,Middle School,114.7,,13,0,7,62, 1:35
239,239,,0,2.4,112,Middle School,239,05:33:33,2,,11,0,10,48, 5:33,MN,1,,13-4278,Middle School,114.4,,12,0,8,64, 3:01
240,240,,0,0,114,Middle School,240,02:06:56,2,,14,1,7,54, 0:46,WI,2,,13-0806,Middle School,114,,12,1,8,60, 0:51
241,241,,0,4.5,109,Middle School,241,05:47:56,2,,10,0,11,54, 5:47,TX,34,,13-1157,Middle School,113.5,,10,0,10,55, 5:47
242,242,,0,0,113,Middle School,242,05:32:56,2,,10,0,11,41, 5:30,AL,17,,13-2324,Middle School,113,,14,0,6,72, 5:32
243,243,,0,5.4,107,Middle School,243,05:31:56,2,,9,0,12,39, 4:16,CA,61,,13-2996,Middle School,112.4,,13,0,7,68, 4:18
244,244,,0,0,112,Middle School,244,02:11:56,2,,8,0,13,40, 2:11,CO,10,,13-4778,Middle School,112,,14,0,6,72, 2:10
245,245,,0,0,112,Middle School,245,04:46:56,2,,9,0,12,44, 4:40,OH,3,,13-1923,Middle School,112,,13,0,7,68, 4:46
246,246,,0,1.8,110,Middle School,246,05:36:56,2,,7,0,14,28, 5:35,CA,62,,13-2286,Middle School,111.8,,16,0,4,82, 5:27
247,247,,0,0,110,Middle School,247,04:27:56,2,,12,0,9,56, 4:22,NH,3,,13-0699,Middle School,110,,10,0,10,54, 4:26
248,248,M,0,0,110,Middle School,248,04:46:58,2,,11,0,10,46, 4:04,CA,63,,13-4396,Middle School,110,M,12,0,8,64, 4:46
249,249,,0,3,107,Middle School,249,05:27:57,2,,10,2,11,32, 5:21,AL,18,,13-0965,Middle School,110,,15,0,5,75, 5:27
250,250,,0,0.6,109,Middle School,250,03:07:56,2,,10,0,11,40, 0:46,VA,11,,13-0782,Middle School,109.6,,13,0,7,69, 2:17
251,251,,0,1.2,108,Middle School,251,04:33:56,2,,14,0,7,59, 4:33,CA,64,,13-3986,Middle School,109.2,,10,0,10,49, 4:18
252,252,,0,0,109,Middle School,252,03:31:56,2,,10,0,11,40, 3:27,CA,65,,13-1941,Middle School,109,,13,0,7,69, 3:25
253,253,,0,0,109,Middle School,253,05:51:58,2,,9,0,12,45, 2:45,CA,66,,13-4152,Middle School,109,,12,0,8,64, 2:02
254,254,,0,3.5,105,Middle School,254,05:36:56,2,,9,0,12,38, 5:35,AL,19,,13-0963,Middle School,108.5,,13,0,7,67, 5:35
255,255,,0,0,108,Middle School,255,05:33:57,2,,8,0,13,35, 5:33,AL,20,,13-0851,Middle School,108,,14,0,6,73, 5:33
256,256,,0,0,108,Middle School,256,05:35:57,2,,9,0,12,38, 5:34,AL,21,,13-0964,Middle School,108,,14,0,6,70, 5:35
257,257,,0,4.8,103,Middle School,257,05:36:57,2,,14,0,7,65, 5:32,TX,35,,13-1511,Middle School,107.8,,8,2,12,38, 4:27
258,258,,0,0,107,Middle School,258,03:26:55,2,,10,0,11,44, 3:23,TX,36,,13-2322,Middle School,107,,12,0,8,63, 3:24
259,259,,0,0,107,Middle School,259,05:23:56,2,,13,1,8,49, 5:22,TX,37,,13-2881,Middle School,107,,11,0,9,58, 5:23
260,260,,0,3.3,102,Middle School,260,05:43:57,2,,8,0,13,35, 4:59,TX,38,,13-3479,Middle School,105.3,,13,0,7,67, 5:43
261,261,,0,0,105,Middle School,261,03:28:56,2,,12,0,9,55, 3:27,ID,4,,13-1075,Middle School,105,,10,0,10,50, 3:27
262,262,,0,0,104,Middle School,262,05:43:55,2,,10,0,11,40, 5:43,AL,22,,13-2325,Middle School,104,,12,0,8,64, 5:32
263,263,,0,3.6,100,Middle School,263,05:46:10,2,,9,0,12,35, 3:39,WA,2,,13-0475,Middle School,103.6,,12,0,8,65, 5:44
264,264,,0,1.5,102,Middle School,264,04:32:09,2,,11,0,10,55, 3:40,UT,3,,13-2694,Middle School,103.5,,8,0,12,47, 4:32
265,265,,0,4.5,99,Middle School,265,05:45:55,2,,10,0,11,43, 2:09,CA,67,,13-2285,Middle School,103.5,,10,0,10,56, 5:35
266,266,M,0,0,103,Middle School,266,05:55:56,2,,11,0,10,51, 5:55,MT,1,,13-3682,Middle School,103,M,9,0,11,52, 5:53
267,267,,0,9.3,93,Middle School,267,03:54:57,2,,19,0,2,93, 2:02,CA,68,,13-1596,Middle School,102.3,,0,0,20,0, 3:46
268,268,,0,1.2,101,Middle School,268,05:24:57,2,,9,0,12,49, 3:13,CA,69,,13-4893,Middle School,102.2,,9,0,11,52, 5:24
269,269,,0,0,101,Middle School,269,04:23:57,2,,9,0,12,38, 4:21,NJ,5,,13-0702,Middle School,101,,12,0,8,63, 4:23
270,270,,0,0,101,Middle School,270,05:32:56,2,,11,0,10,47, 2:02,CA,70,,13-4155,Middle School,101,,11,0,9,54, 3:19
271,271,,0,0,101,Middle School,271,05:31:59,2,,10,0,11,47, 3:50,CA,71,,13-0245,Middle School,101,,10,0,10,54, 5:19
272,272,,0,0,100,Middle School,272,06:00:00,2,,11,0,10,46, 5:59,JPN,4,,13-2590,Middle School,100,,11,1,9,54, 5:59
273,273,,0,2.4,97,Middle School,273,04:04:58,2,,8,0,13,41, 4:04,CO,11,,13-0135,Middle School,99.4,,12,0,8,56, 3:51
274,274,,0,0,99,Middle School,274,05:44:56,2,,7,0,14,35, 5:44,CAN,9,,13-4829,Middle School,99,,12,0,8,64, 5:14
275,275,,0,3.6,95,Middle School,275,05:09:00,2,,9,1,12,34, 5:07,NJ,6,,13-3219,Middle School,98.6,,11,0,9,61, 5:06
276,276,,0,4.4,94,Middle School,276,05:46:56,2,,9,0,12,37, 5:43,FL,8,,13-2198,Middle School,98.4,,12,0,8,57, 3:12
277,277,,0,4.8,93,Middle School,277,05:37:56,2,,5,0,16,21, 0:50,CA,72,,13-0251,Middle School,97.8,,14,0,6,72, 4:43
278,278,M,0,0,97,Middle School,278,05:31:56,2,M,14,0,7,69, 5:24,CA,73,,13-2974,Middle School,97,,7,0,13,28, 5:09
279,279,,0,2.6,94,Middle School,279,04:15:56,2,,10,0,11,41, 4:15,TX,39,,13-1451,Middle School,96.6,,11,0,9,53, 4:13
280,280,,0,1.4,95,Middle School,280,04:47:00,2,,8,0,13,34, 4:47,IL,2,,13-3031,Middle School,96.4,,13,0,7,61, 4:30
281,281,,0,0,96,Middle School,281,04:43:56,2,,7,0,14,36, 4:30,NJ,7,,13-0701,Middle School,96,,11,0,9,60, 4:39
282,282,,0,3.6,92,Middle School,282,05:28:56,2,,8,0,13,32, 5:00,CA,74,,13-1590,Middle School,95.6,,11,0,9,60, 5:28
283,283,,0,2.4,93,Middle School,283,05:30:56,2,,12,0,9,50, 5:30,LA,8,,13-2961,Middle School,95.4,,10,0,10,43, 5:30
284,284,,0,12.5,82,Middle School,284,05:52:56,2,,12,0,9,49, 4:51,MN,2,,13-0371,Middle School,94.5,,8,1,12,33, 5:51
285,285,M,0,5,89,Middle School,285,04:51:56,2,M,7,0,14,35, 2:39,CA,75,,13-5155,Middle School,94,M,11,0,9,54, 4:51
286,286,,0,4.4,89,Middle School,286,05:32:56,2,,10,0,11,42, 5:29,LA,9,,13-1680,Middle School,93.4,,11,0,9,47, 5:32
287,287,,0,0,93,Middle School,287,03:58:56,2,,13,0,8,54, 3:58,TX,40,,13-2566,Middle School,93,,11,2,9,39, 3:57
288,288,,0,2.7,90,Middle School,288,05:18:56,2,,9,0,12,38, 5:18,LA,10,,13-2548,Middle School,92.7,,12,0,8,52, 5:18
289,289,T,0,0,92,Middle School,289,25:38:29,2,,10,0,11,43, 1:45,LA,11,,13-3073,Middle School,92,,10,0,10,49, 2:05
290,290,,0,4.8,87,Middle School,290,05:47:53,2,,5,0,16,22, 1:35,TX,41,,13-1508,Middle School,91.8,,12,0,8,65, 3:34
291,291,,0,4.8,87,Middle School,291,05:53:56,1,,,,,,,CA,76,,13-2995,Middle School,91.8,,17,0,3,87, 5:53
292,292,M,0,3.6,88,Middle School,292,04:34:56,2,,9,0,12,37, 4:14,CA,77,,13-4863,Middle School,91.6,M,10,0,10,51, 3:29
293,293,,0,2.4,89,Middle School,293,03:46:14,2,,8,0,13,35, 3:46,GA,30,GTMS,13-0044,Middle School,91.4,,10,0,10,54, 3:44
294,294,T,-4,0,95,Middle School,294,06:12:44,2,,9,0,12,37, 5:59,JPN,5,,13-2747,Middle School,91,T,11,0,9,58, 6:10
295,295,,0,0,88,Middle School,295,03:37:58,2,,9,0,12,44, 3:35,TX,42,,13-3371,Middle School,88,,9,0,11,44, 3:37
296,296,,0,0,88,Middle School,296,04:56:56,2,,7,0,14,28, 4:56,GA,31,,13-2508,Middle School,88,,11,0,9,60, 4:56
297,297,,0,0,87,Middle School,297,04:02:57,2,,9,0,12,37, 3:48,TX,43,,13-3204,Middle School,87,,10,0,10,50, 4:02
298,298,,0,0,87,Middle School,298,03:49:56,2,,5,0,16,19, 0:37,CO,12,,13-2145,Middle School,87,,13,0,7,68, 3:49
299,299,,0,0,87,Middle School,299,04:21:55,2,,6,1,15,22, 3:59,NJ,8,,13-0700,Middle School,87,,12,0,8,65, 4:19
300,300,,0,0,86,Middle School,300,04:04:55,2,,4,0,17,24, 2:01,AL,23,,13-1518,Middle School,86,,12,0,8,62, 4:04
301,301,,0,4.8,81,Middle School,301,04:47:55,2,,8,0,13,36, 4:47,VA,12,,13-4019,Middle School,85.8,,9,0,11,45, 4:41
302,302,,0,0,85,Middle School,302,05:49:56,2,,2,0,19,8, 5:45,WY,1,,13-3314,Middle School,85,,15,0,5,77, 5:39
303,303,,0,4.8,80,Middle School,303,05:24:56,2,,6,0,15,31, 5:23,GA,32,SIMS,13-3140,Middle School,84.8,,9,0,11,49, 5:24
304,304,,0,0,84,Middle School,304,02:28:57,2,,5,0,16,21, 0:32,TX,44,,13-3450,Middle School,84,,12,0,8,63, 2:28
305,305,,0,4,80,Middle School,305,04:58:55,2,,7,0,14,30, 4:58,NJ,9,,13-0795,Middle School,84,,9,0,11,50, 1:18
306,306,,0,0,83,Middle School,306,05:37:58,2,,8,0,13,33, 5:30,CO,13,,13-3681,Middle School,83,,9,0,11,50, 5:36
307,307,,0,4.4,78,Middle School,307,05:55:56,2,,6,1,15,21, 4:42,CA,78,,13-3985,Middle School,82.4,,11,0,9,57, 5:55
308,308,,0,0,82,Middle School,308,03:46:56,2,,5,0,16,25, 0:45,CA,79,,13-1943,Middle School,82,,10,0,10,57, 2:12
309,309,T,0,0,82,Middle School,309,24:37:56,2,,13,0,8,55, 0:53,LA,12,,13-3252,Middle School,82,,6,0,14,27, 0:38
310,310,,0,1.8,80,Middle School,310,05:41:57,2,,4,0,17,18, 5:41,AZ,1,,13-1119,Middle School,81.8,,12,0,8,62, 5:41
311,311,,0,8.4,73,Middle School,311,05:32:56,2,,6,0,15,26, 0:20,TX,45,,13-0940,Middle School,81.4,,9,1,11,47, 5:27
312,312,,0,0,81,Middle School,312,05:33:56,2,,7,0,14,30, 5:32,FL,9,,13-4406,Middle School,81,,9,0,11,51, 5:21
313,313,,0,4.5,76,Middle School,313,05:54:56,2,,9,0,12,37, 4:42,TX,46,,13-1510,Middle School,80.5,,9,0,11,39, 5:54
314,314,,0,0,80,Middle School,314,05:41:56,2,,7,1,14,25, 5:41,TX,47,,13-4076,Middle School,80,,11,1,9,55, 5:41
315,315,,0,3.6,75,Middle School,315,05:54:56,2,,5,0,16,28, 4:32,TX,48,,13-3321,Middle School,78.6,,8,0,12,47, 5:54
316,316,,0,1.4,77,Middle School,316,04:55:56,2,,6,0,15,23, 4:47,GA,33,RMS,13-0510,Middle School,78.4,,10,0,10,54, 4:28
317,317,,0,5,73,Middle School,317,05:11:56,2,,5,0,16,27, 5:10,CT,2,,13-1027,Middle School,78,,8,0,12,46, 5:09
318,318,,0,0,78,Middle School,318,05:45:57,2,,9,1,12,37, 5:45,TX,49,,13-4078,Middle School,78,,10,2,10,41, 5:45
319,319,T,0,0,78,Middle School,319,29:17:56,2,,0,0,21,0, 0:28,HI,9,,13-0713,Middle School,78,,15,0,5,78, 1:28
320,320,,0,0,76,Middle School,320,02:10:55,1,,,,,,,NY,1,,13-3441,Middle School,76,,17,0,3,76, 2:10
321,321,,0,0,76,Middle School,321,05:23:57,2,,5,0,16,22, 5:23,FL,10,,13-1096,Middle School,76,,10,0,10,54, 5:22
322,322,,0,2,72,Middle School,322,05:47:57,2,,7,0,14,36, 5:47,ID,5,,13-0126,Middle School,74,,7,0,13,36, 5:46
323,323,M,0,3.6,70,Middle School,323,05:52:58,2,M,5,0,16,22, 5:52,CA,80,,13-0252,Middle School,73.6,,9,0,11,48, 1:40
324,324,,0,0,72,Middle School,324,03:35:56,2,,9,0,12,36, 3:32,LA,13,,13-2839,Middle School,72,,8,0,12,36, 3:35
325,325,,0,0,72,Middle School,325,05:48:56,2,,5,0,16,34, 5:48,CA,81,,13-4891,Middle School,72,,6,0,14,38, 2:45
326,326,,0,4.2,64,Middle School,326,02:07:58,2,,14,0,7,65, 2:07,TX,50,,13-1509,Middle School,68.2,,1,1,19,-1, 1:21
327,327,,0,1.2,67,Middle School,327,04:59:56,2,,5,0,16,27, 3:01,AR,2,,13-2484,Middle School,68.2,,8,0,12,40, 1:44
328,328,M,0,0,68,Middle School,328,05:58:57,2,,9,0,12,38, 5:57,CA,82,,13-1594,Middle School,68,M,6,0,14,30, 5:58
329,329,,0,1.8,65,Middle School,329,05:20:55,2,,8,0,13,36, 2:39,CA,83,,13-2408,Middle School,66.8,,7,0,13,29, 5:12
330,330,,0,2.6,64,Middle School,330,05:17:55,2,,5,0,16,22, 1:38,LA,14,,13-3447,Middle School,66.6,,10,0,10,42, 5:16
331,331,,0,0,66,Middle School,331,01:29:03,2,,6,0,15,26, 1:27,CO,14,,13-4773,Middle School,66,,8,0,12,40, 1:29
332,332,,0,0,66,Middle School,332,05:12:58,2,,4,0,17,17, 5:09,AP,1,,13-1362,Middle School,66,,9,0,11,49, 5:12
333,333,MT,0,0,64,Middle School,333,06:03:56,2,,0,0,21,0, 0:17,HI,10,,13-0712,Middle School,64,M,12,0,8,64, 5:43
334,334,,0,4.8,59,Middle School,334,03:51:56,2,,5,0,16,19, 0:47,NV,2,,13-4044,Middle School,63.8,,6,0,14,40, 3:51
335,335,,0,2.4,61,Middle School,335,05:40:56,2,,5,0,16,21, 5:21,CA,84,,13-3668,Middle School,63.4,,8,0,12,40, 5:39
336,336,,0,0,63,Middle School,336,04:29:57,1,,,,,,,VA,13,,13-4167,Middle School,63,,12,0,8,63, 4:29
337,337,,0,0,62,Middle School,337,05:40:57,1,,,,,,,TX,51,,13-4075,Middle School,62,,12,1,8,62, 5:40
338,338,,0,0,61,Middle School,338,03:03:56,1,,,,,,,IL,3,,13-1609,Middle School,61,,12,0,8,61, 3:03
339,339,T,0,2,58,Middle School,339,48:17:07,2,,12,0,9,58, 1:55,TN,2,,13-2176,Middle School,60,,0,0,20,0, 0:04
340,340,,0,2.6,57,Middle School,340,03:48:59,1,,,,,,,KY,1,,13-5154,Middle School,59.6,,11,0,9,57, 3:48
341,341,M,0,3,55,Middle School,341,05:16:56,2,,0,0,21,0, 0:01,CA,85,,13-2004,Middle School,58,M,10,0,10,55, 5:16
342,342,,0,3.6,54,Middle School,342,05:30:57,2,,2,0,19,8, 2:08,CA,86,,13-0249,Middle School,57.6,,9,0,11,46, 5:30
343,343,,0,0,55,Middle School,343,02:56:19,2,,7,0,14,29, 2:54,TX,52,,13-2321,Middle School,55,,6,0,14,26, 2:09
