,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2019_cpxiii_r1_hsms-**,Server2019_cpxiii_r1_hsms-Found,Server2019_cpxiii_r1_hsms-Penalties,Server2019_cpxiii_r1_hsms-Remaining,Server2019_cpxiii_r1_hsms-Score,Server2019_cpxiii_r1_hsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Windows10_cpxiii_r1_hsms-**,Windows10_cpxiii_r1_hsms-Found,Windows10_cpxiii_r1_hsms-Penalties,Windows10_cpxiii_r1_hsms-Remaining,Windows10_cpxiii_r1_hsms-Score,Windows10_cpxiii_r1_hsms-Time
33,33,,0,0,188,Middle School,33,05:30:56,2,,19,0,2,93, 5:28,VA,1,,13-5048,Middle School,188,,19,0,1,95, 5:00
34,34,,0,4.8,183,Middle School,34,05:58:57,2,,18,0,3,87, 5:56,CO,1,,13-3897,Middle School,187.8,,19,0,1,96, 5:58
35,35,,0,9.8,175,Middle School,35,05:53:57,2,,16,0,5,80, 5:52,HI,1,,13-0205,Middle School,184.8,,19,0,1,95, 5:53
36,36,,0,6.4,178,Middle School,36,05:12:56,2,,17,0,4,83, 5:12,LA,1,,13-0739,Middle School,184.4,,19,0,1,95, 5:12
37,37,,0,11.4,172,Middle School,37,05:58:56,2,,18,0,3,82, 5:58,GA,7,,13-4426,Middle School,183.4,,18,0,2,90, 5:58
38,38,,0,11.6,170,Middle School,38,04:21:58,2,,19,0,2,93, 4:21,CA,14,,13-4392,Middle School,181.6,,15,0,5,77, 4:19
39,39,,0,15.6,165,Middle School,39,05:34:56,2,,17,0,4,78, 5:34,MD,1,,13-3934,Middle School,180.6,,17,0,3,87, 5:03
40,40,,0,3.8,176,Middle School,40,05:59:56,2,,19,0,2,93, 5:58,CA,15,,13-0887,Middle School,179.8,,16,0,4,83, 5:51
41,41,,0,9.2,170,Middle School,41,05:46:57,2,,16,0,5,79, 5:46,TX,7,,13-1158,Middle School,179.2,,18,0,2,91, 5:46
42,42,,0,5.8,173,Middle School,42,05:22:55,2,,18,0,3,82, 5:22,GA,8,SIMS,13-3139,Middle School,178.8,,18,0,2,91, 4:03
43,43,,0,4.4,174,Middle School,43,04:48:57,2,,18,0,3,88, 4:39,FL,1,,13-0422,Middle School,178.4,,17,0,3,86, 4:48
