,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2016_cpxii_sf_gsms-**,Server2016_cpxii_sf_gsms-Found,Server2016_cpxii_sf_gsms-Penalties,Server2016_cpxii_sf_gsms-Remaining,Server2016_cpxii_sf_gsms-Score,Server2016_cpxii_sf_gsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Ubuntu16_cpxii_sf_psms-**,Ubuntu16_cpxii_sf_psms-Found,Ubuntu16_cpxii_sf_psms-Penalties,Ubuntu16_cpxii_sf_psms-Remaining,Ubuntu16_cpxii_sf_psms-Score,Ubuntu16_cpxii_sf_psms-Time,Win10_cpxii_sf_gsms-**,Win10_cpxii_sf_gsms-Found,Win10_cpxii_sf_gsms-Penalties,Win10_cpxii_sf_gsms-Remaining,Win10_cpxii_sf_gsms-Score,Win10_cpxii_sf_gsms-Time
11,11,,0.00,22.35,172.0,Middle School,11.0,05:54:59,3,,14,0,16,46, 5:49,MD,1.0,,12-0285,Middle School,194.35,,26,0,10,67, 5:54,,21,0,15,59, 5:44
12,12,,0.00,21.22,171.0,Middle School,12.0,05:57:57,3,,14,0,16,42, 5:57,GA,1.0,GBMS,12-3239,Middle School,192.22,,29,0,7,78, 5:53,,21,0,15,51, 5:45
13,13,,0.00,22.11,170.0,Middle School,13.0,05:30:56,3,,21,0,9,66, 5:29,CA,11.0,,12-2618,Middle School,192.11,,13,0,23,28, 5:29,,28,0,8,76, 5:25
14,14,,0.00,23.47,164.0,Middle School,14.0,05:59:57,3,,18,0,12,61, 5:57,CA,12.0,,12-0740,Middle School,187.47,,23,0,13,64, 5:58,,16,0,20,39, 5:57
15,15,,0.00,16.13,169.0,Middle School,15.0,05:54:00,3,,18,0,12,59, 5:53,VA,1.0,,12-1205,Middle School,185.13,,18,0,18,54, 5:53,,22,0,14,56, 5:52
16,16,,0.00,7.50,172.0,Middle School,16.0,05:55:57,3,,18,0,12,51, 5:51,CA,13.0,,12-6503,Middle School,179.50,,22,0,14,58, 5:51,,23,0,13,63, 5:55
17,17,,0.00,24.06,155.0,Middle School,17.0,05:52:01,3,,18,0,12,51, 5:50,OH,1.0,,12-0010,Middle School,179.06,,15,0,21,38, 5:51,,25,0,11,66, 5:49
18,18,,0.00,26.23,151.0,Middle School,18.0,05:49:56,3,,13,0,17,43, 5:48,CA,14.0,,12-2484,Middle School,177.23,,28,0,8,79, 5:20,,10,0,26,29, 5:49
19,19,,0.00,24.74,151.0,Middle School,19.0,05:51:56,3,,17,0,13,54, 5:49,MO,1.0,,12-0618,Middle School,175.74,,17,0,19,49, 5:37,,19,0,17,48, 5:50
20,20,,0.00,26.98,148.0,Middle School,20.0,05:46:57,3,,10,0,20,33, 5:41,CA,15.0,,12-3996,Middle School,174.98,,23,0,13,68, 5:44,,18,0,18,47, 5:44
21,21,T,-3.00,15.69,161.0,Middle School,21.0,06:03:00,3,,11,0,19,40, 3:36,MO,2.0,,12-1164,Middle School,173.69,T,27,0,9,75, 6:03,,16,0,20,46, 5:50
22,22,,0.00,7.50,166.0,Middle School,22.0,05:57:03,3,,15,0,15,46, 5:55,GA,2.0,GMS,12-0155,Middle School,173.50,,22,0,14,59, 5:54,,24,0,12,61, 5:56
23,23,,0.00,8.89,163.0,Middle School,23.0,05:40:59,3,,7,0,23,29, 5:40,MO,3.0,,12-3486,Middle School,171.89,,20,0,16,60, 5:40,,27,0,9,74, 5:27
24,24,,0.00,9.00,162.0,Middle School,24.0,05:58:56,3,,14,0,16,45, 5:57,MD,2.0,,12-6037,Middle School,171.00,,27,0,9,75, 5:37,,18,0,18,42, 5:58
25,25,,0.00,11.36,158.0,Middle School,25.0,05:15:56,3,,16,0,14,50, 5:13,AL,1.0,,12-0021,Middle School,169.36,,21,0,15,61, 5:05,,16,0,20,47, 5:15
26,26,,0.00,5.50,163.0,Middle School,26.0,05:49:01,3,,12,1,18,31, 5:27,CA,16.0,,12-6502,Middle School,168.50,,23,0,13,58, 5:49,,25,0,11,74, 5:47
27,27,,0.00,27.43,140.0,Middle School,27.0,05:48:00,3,,14,0,16,40, 5:42,CA,17.0,,12-1934,Middle School,167.43,,19,1,17,51, 5:47,,24,0,12,49, 5:43
28,28,,0.00,23.24,143.0,Middle School,28.0,05:59:57,3,,15,0,15,48, 5:58,CA,18.0,,12-0351,Middle School,166.24,,20,0,16,52, 5:56,,16,0,20,43, 5:59
29,29,,0.00,23.99,137.0,Middle School,29.0,05:49:56,3,,14,0,16,49, 5:45,CA,19.0,,12-2483,Middle School,160.99,,15,0,21,35, 5:47,,23,0,13,53, 5:48
30,30,,0.00,6.50,154.0,Middle School,30.0,05:02:59,3,,13,0,17,40, 4:59,KS,1.0,,12-5527,Middle School,160.50,,18,0,18,59, 5:02,,22,0,14,55, 4:57
31,31,,0.00,17.30,143.0,Middle School,31.0,05:53:56,3,,15,0,15,46, 5:52,VA,2.0,,12-0191,Middle School,160.30,,19,0,17,47, 5:51,,20,0,16,50, 5:53
32,32,,0.00,17.12,142.0,Middle School,32.0,05:46:59,3,,9,0,21,27, 5:46,TX,1.0,,12-1213,Middle School,159.12,,21,0,15,61, 5:46,,20,0,16,54, 5:46
