,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2016_cpxii_sf_gsms-**,Server2016_cpxii_sf_gsms-Found,Server2016_cpxii_sf_gsms-Penalties,Server2016_cpxii_sf_gsms-Remaining,Server2016_cpxii_sf_gsms-Score,Server2016_cpxii_sf_gsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Ubuntu16_cpxii_sf_psms-**,Ubuntu16_cpxii_sf_psms-Found,Ubuntu16_cpxii_sf_psms-Penalties,Ubuntu16_cpxii_sf_psms-Remaining,Ubuntu16_cpxii_sf_psms-Score,Ubuntu16_cpxii_sf_psms-Time,Win10_cpxii_sf_gsms-**,Win10_cpxii_sf_gsms-Found,Win10_cpxii_sf_gsms-Penalties,Win10_cpxii_sf_gsms-Remaining,Win10_cpxii_sf_gsms-Score,Win10_cpxii_sf_gsms-Time
124,124,,0.00,6.39,91.0,Middle School,124.0,05:31:59,3,,9,0,21,28, 5:28,CA,48.0,,12-0152,Middle School,97.39,,14,1,22,28, 5:29,,14,0,22,35, 5:31
125,125,,0.00,7.25,89.0,Middle School,125.0,05:55:01,3,,8,2,22,16, 5:50,CA,49.0,,12-6504,Middle School,96.25,,14,0,22,36, 5:48,,12,0,24,37, 5:54
126,126,,0.00,21.87,74.0,Middle School,126.0,05:54:01,3,,11,0,19,32, 5:53,AL,5.0,,12-1351,Middle School,95.87,,5,0,31,15, 5:52,,15,0,21,27, 5:40
127,127,,0.00,7.75,88.0,Middle School,127.0,04:20:58,3,,10,1,20,23, 3:38,MI,3.0,,12-5653,Middle School,95.75,,18,0,18,36, 1:41,,10,0,26,29, 3:36
128,128,,0.00,22.64,72.0,Middle School,128.0,05:06:56,3,,8,0,22,32, 5:06,MO,6.0,,12-1167,Middle School,94.64,,10,0,26,35, 5:02,,4,0,32,5, 4:59
129,129,T,-3.00,5.50,92.0,Middle School,129.0,06:01:23,3,T,11,1,19,33, 6:01,CO,7.0,,12-0027,Middle School,94.50,,5,0,31,8, 4:01,T,17,0,19,51, 6:01
130,130,,0.00,18.11,76.0,Middle School,130.0,05:25:55,3,,6,0,24,14, 5:24,CA,50.0,,12-2766,Middle School,94.11,,12,0,24,25, 5:07,,16,0,20,37, 5:08
131,131,,0.00,12.75,80.0,Middle School,131.0,04:28:57,3,,5,0,25,23, 4:28,IL,1.0,,12-3133,Middle School,92.75,,8,0,28,22, 3:45,,11,0,25,35, 3:35
132,132,,0.00,8.18,84.0,Middle School,132.0,05:49:01,3,,8,0,22,24, 5:48,CO,8.0,,12-0054,Middle School,92.18,,18,0,18,32, 5:48,,15,1,21,28, 5:47
133,133,,0.00,8.75,83.0,Middle School,133.0,05:59:59,3,,8,1,22,19, 5:59,WA,2.0,,12-6116,Middle School,91.75,,9,0,27,27, 5:59,,13,0,23,37, 5:59
134,134,,0.00,19.30,72.0,Middle School,134.0,05:11:59,3,,13,0,17,43, 5:10,NV,1.0,,12-1781,Middle School,91.30,,4,0,32,6, 5:11,,15,0,21,23, 5:10
135,135,,0.00,7.50,83.0,Middle School,135.0,05:46:57,3,,13,0,17,36, 5:26,CA,51.0,,12-5199,Middle School,90.50,,13,0,23,23, 5:46,,11,1,25,24, 5:26
136,136,,0.00,13.47,77.0,Middle School,136.0,05:55:55,3,,15,0,15,42, 4:14,OH,2.0,,12-4470,Middle School,90.47,,3,0,33,4, 2:06,,9,0,27,31, 5:42
137,137,,0.00,0.00,90.0,Middle School,137.0,05:33:59,3,,8,0,22,26, 5:30,CA,52.0,,12-0356,Middle School,90.00,,13,0,23,34, 5:33,,11,0,25,30, 5:31
138,138,T,-3.00,-3.00,96.0,Middle School,138.0,07:01:56,3,,9,0,21,27, 5:57,VA,7.0,,12-1735,Middle School,90.00,,15,0,21,45, 5:39,T,11,0,25,24, 7:01
139,139,,0.00,7.00,83.0,Middle School,139.0,05:29:07,3,,6,0,24,27, 5:24,MD,5.0,,12-6036,Middle School,90.00,,22,2,14,47, 5:21,,7,0,29,9, 5:28
140,140,,0.00,9.98,80.0,Middle School,140.0,05:55:00,3,,10,0,20,35, 5:54,CO,9.0,,12-3175,Middle School,89.98,,6,0,30,16, 5:48,,12,0,24,29, 5:48
141,141,T,-3.00,8.75,84.0,Middle School,141.0,06:00:01,3,,10,0,20,35, 5:52,CO,10.0,,12-0035,Middle School,89.75,T,14,0,22,31, 6:00,,8,0,28,18, 5:55
142,142,,0.00,9.64,80.0,Middle School,142.0,04:33:59,3,,5,0,25,19, 4:08,RI,4.0,,12-1074,Middle School,89.64,,12,0,24,27, 4:16,,10,0,26,34, 3:52
143,143,,0.00,0.00,89.0,Middle School,143.0,04:48:57,3,,10,0,20,23, 4:37,CA,53.0,,12-1729,Middle School,89.00,,15,0,21,40, 4:43,,9,0,27,26, 4:44
144,144,,0.00,19.90,69.0,Middle School,144.0,05:33:59,3,,10,0,20,31, 5:33,NV,2.0,,12-1573,Middle School,88.90,,8,0,28,19, 5:33,,9,0,27,19, 4:28
145,145,,0.00,14.84,74.0,Middle School,145.0,05:51:56,3,,7,0,23,27, 5:27,WV,2.0,,12-4170,Middle School,88.84,,3,0,33,17, 5:27,,8,0,28,30, 5:47
146,146,,0.00,17.52,71.0,Middle School,146.0,05:28:57,3,,6,0,24,14, 5:28,ID,1.0,,12-4476,Middle School,88.52,,17,0,19,37, 5:23,,8,0,28,20, 5:22
147,147,,0.00,4.50,84.0,Middle School,147.0,05:48:56,3,,10,0,20,33, 5:07,CA,54.0,,12-6766,Middle School,88.50,,14,0,22,29, 5:46,,10,0,26,22, 5:48
148,148,,0.00,12.92,75.0,Middle School,148.0,05:54:56,3,,5,0,25,12, 5:54,HI,3.0,,12-2623,Middle School,87.92,,14,0,22,37, 5:53,,9,0,27,26, 5:51
149,149,,0.00,2.75,85.0,Middle School,149.0,04:29:09,3,,7,0,23,22, 4:28,HI,4.0,,12-3846,Middle School,87.75,,12,0,24,32, 3:19,,11,0,25,31, 4:29
150,150,,0.00,17.49,70.0,Middle School,150.0,05:56:56,3,,7,0,23,23, 5:55,TX,12.0,,12-1622,Middle School,87.49,,9,0,27,26, 5:53,,10,0,26,21, 5:47
151,151,,0.00,0.00,87.0,Middle School,151.0,05:15:57,3,,9,0,21,35, 5:13,RI,5.0,,12-6015,Middle School,87.00,,14,0,22,25, 5:14,,9,0,27,27, 5:15
152,152,,0.00,6.50,80.0,Middle School,152.0,05:50:56,3,,5,0,25,18, 5:48,OH,3.0,,12-2718,Middle School,86.50,,13,0,23,36, 5:46,,9,1,27,26, 5:50
153,153,,0.00,1.25,85.0,Middle School,153.0,05:46:02,3,,12,1,18,23, 4:47,CA,55.0,,12-5862,Middle School,86.25,,10,0,26,21, 5:46,,21,1,15,41, 5:36
154,154,T,-3.00,14.02,75.0,Middle School,154.0,06:00:56,3,,7,0,23,22, 5:37,MD,6.0,,12-4564,Middle School,86.02,,14,0,22,31, 3:45,,10,0,26,22, 5:09
155,155,,0.00,7.00,79.0,Middle School,155.0,05:46:56,3,,6,0,24,14, 5:46,CA,56.0,,12-6748,Middle School,86.00,,9,0,27,21, 5:16,,13,0,23,44, 5:19
156,156,,0.00,6.75,79.0,Middle School,156.0,05:20:56,3,,10,0,20,29, 5:20,TX,13.0,,12-6353,Middle School,85.75,,5,0,31,15, 5:16,,10,0,26,35, 5:12
157,157,,0.00,12.34,73.0,Middle School,157.0,05:43:56,3,,8,0,22,30, 5:38,CA,57.0,,12-2620,Middle School,85.34,,11,0,25,24, 5:42,,8,0,28,19, 5:39
158,158,,0.00,23.07,62.0,Middle School,158.0,05:33:59,3,,2,1,28,-1, 5:33,SC,3.0,,12-3008,Middle School,85.07,,18,0,18,45, 5:33,,4,0,32,18, 5:32
159,159,,0.00,0.00,85.0,Middle School,159.0,05:44:00,3,,7,0,23,27, 5:33,CA,58.0,,12-1449,Middle School,85.00,,7,0,29,25, 5:43,,10,0,26,33, 5:32
160,160,T,-3.00,4.75,83.0,Middle School,160.0,06:00:56,3,T,12,0,18,35, 6:00,CA,59.0,,12-3628,Middle School,84.75,,14,0,22,31, 5:41,,8,0,28,17, 5:50
161,161,,0.00,7.75,77.0,Middle School,161.0,05:52:58,3,,9,0,21,32, 5:46,HI,5.0,,12-5638,Middle School,84.75,,6,0,30,29, 5:50,,7,0,29,16, 5:49
162,162,,0.00,19.48,65.0,Middle School,162.0,05:32:58,3,,9,0,21,28, 5:04,AL,6.0,,12-0912,Middle School,84.48,,13,0,23,29, 5:32,,5,0,31,8, 5:31
163,163,,0.00,7.25,77.0,Middle School,163.0,05:38:01,3,,8,3,22,12, 5:36,UT,2.0,,12-5318,Middle School,84.25,,14,0,22,48, 5:37,,8,0,28,17, 5:29
164,164,,0.00,0.00,84.0,Middle School,164.0,05:45:55,3,,16,0,14,46, 5:40,OK,1.0,,12-0017,Middle School,84.00,,9,0,27,17, 5:33,,13,0,23,21, 5:40
165,165,,0.00,6.00,78.0,Middle School,165.0,05:50:02,3,,6,0,24,21, 5:49,AL,7.0,,12-1352,Middle School,84.00,,12,0,24,32, 5:49,,11,0,25,25, 5:39
166,166,,0.00,5.75,78.0,Middle School,166.0,05:33:56,3,,4,0,26,21, 5:06,NH,1.0,,12-5681,Middle School,83.75,,6,0,30,29, 5:31,,7,0,29,28, 5:30
167,167,,0.00,8.75,75.0,Middle School,167.0,05:55:56,3,,11,0,19,28, 5:53,CO,11.0,,12-0032,Middle School,83.75,,9,0,27,15, 5:53,,12,0,24,32, 5:55
168,168,,0.00,18.58,65.0,Middle School,168.0,05:10:56,3,,8,0,22,29, 5:01,GA,11.0,Dark_Knights.exe,12-1307,Middle School,83.58,,9,0,27,16, 5:05,,10,0,26,20, 5:10
169,169,,0.00,3.25,80.0,Middle School,169.0,05:30:56,3,,6,0,24,16, 5:25,CA,60.0,,12-0150,Middle School,83.25,,16,0,20,39, 5:24,,8,0,28,25, 5:00
170,170,,0.00,0.00,83.0,Middle School,170.0,04:37:56,3,,14,0,16,31, 4:28,GA,12.0,,12-0040,Middle School,83.00,,12,0,24,31, 4:37,,11,0,25,21, 4:34
171,171,,0.00,16.71,66.0,Middle School,171.0,05:53:56,3,,10,0,20,26, 5:53,AL,8.0,,12-0911,Middle School,82.71,,12,0,24,21, 5:52,,9,0,27,19, 5:52
172,172,,0.00,0.00,82.0,Middle School,172.0,04:37:56,3,,12,0,18,40, 4:33,GA,13.0,,12-0038,Middle School,82.00,,6,0,30,10, 4:37,,14,0,22,32, 4:35
173,173,,0.00,0.00,82.0,Middle School,173.0,06:00:00,3,,10,0,20,36, 5:55,GA,14.0,LMS,12-3544,Middle School,82.00,,11,0,25,26, 5:52,,9,0,27,20, 5:53
174,174,,0.00,6.50,75.0,Middle School,174.0,05:35:00,3,,6,0,24,24, 5:11,OR,1.0,,12-0648,Middle School,81.50,,8,0,28,20, 5:35,,12,0,24,31, 4:03
175,175,,0.00,9.90,71.0,Middle School,175.0,05:49:00,3,,13,0,17,46, 5:46,SC,4.0,,12-0128,Middle School,80.90,,9,0,27,17, 5:38,,5,0,31,8, 5:48
176,176,,0.00,8.50,72.0,Middle School,176.0,05:50:55,3,,9,0,21,29, 5:35,CA,61.0,,12-6747,Middle School,80.50,,6,0,30,16, 2:11,,8,0,28,27, 5:49
177,177,,0.00,8.39,72.0,Middle School,177.0,05:43:01,3,,10,0,20,29, 5:28,HI,6.0,,12-0473,Middle School,80.39,,10,0,26,23, 5:43,,9,0,27,20, 5:37
178,178,,0.00,8.00,72.0,Middle School,178.0,05:47:59,3,,7,0,23,29, 5:47,VA,8.0,,12-5105,Middle School,80.00,,5,0,31,14, 5:27,,10,0,26,29, 5:47
179,179,,0.00,0.00,80.0,Middle School,179.0,05:49:14,3,,8,0,22,31, 3:59,NH,2.0,,12-5680,Middle School,80.00,,5,0,31,20, 5:38,,7,0,29,29, 5:49
180,180,,0.00,5.00,75.0,Middle School,180.0,05:57:57,3,,10,0,20,30, 5:55,AZ,1.0,,12-5705,Middle School,80.00,,9,0,27,18, 5:57,,12,0,24,27, 5:56
181,181,,0.00,0.00,80.0,Middle School,181.0,05:50:01,3,,6,0,24,14, 5:40,TX,14.0,,12-1689,Middle School,80.00,,12,0,24,33, 5:50,,12,0,24,33, 5:43
182,182,T,-3.00,14.83,68.0,Middle School,182.0,06:01:03,3,,8,0,22,29, 5:43,TX,15.0,,12-1415,Middle School,79.83,T,3,0,33,4, 6:01,,10,0,26,35, 5:42
183,183,,0.00,3.25,76.0,Middle School,183.0,05:35:00,3,,3,1,27,8, 4:50,PA,4.0,,12-5818,Middle School,79.25,,6,0,30,30, 3:40,,12,0,24,38, 5:34
184,184,,0.00,8.00,71.0,Middle School,184.0,05:56:56,3,,6,1,24,15, 5:53,VA,9.0,,12-6127,Middle School,79.00,,16,0,20,35, 5:56,,11,0,25,21, 5:56
185,185,,0.00,23.96,55.0,Middle School,185.0,05:39:56,3,,3,0,27,8, 5:39,WA,3.0,,12-4191,Middle School,78.96,,8,0,28,25, 5:30,,7,0,29,22, 5:39
186,186,,0.00,5.75,73.0,Middle School,186.0,05:18:59,3,,10,0,20,28, 5:14,GA,15.0,Cyber.Bytes_Intellect,12-1308,Middle School,78.75,,9,0,27,16, 5:17,,12,0,24,29, 5:17
187,187,T,-3.00,23.24,58.0,Middle School,187.0,06:00:55,3,,3,0,27,12, 5:58,FL,3.0,,12-3216,Middle School,78.24,,10,1,26,19, 5:58,,6,0,30,27, 5:56
188,188,,0.00,7.75,70.0,Middle School,188.0,05:16:57,3,,9,0,21,26, 5:05,CO,12.0,,12-5130,Middle School,77.75,,12,0,24,22, 5:07,,7,0,29,22, 4:21
189,189,,0.00,6.42,71.0,Middle School,189.0,05:33:55,3,,6,0,24,12, 5:31,OH,4.0,,12-1682,Middle School,77.42,,14,0,22,32, 5:32,,10,0,26,27, 5:32
190,190,,0.00,0.00,77.0,Middle School,190.0,05:05:56,3,,8,0,22,29, 5:03,CO,13.0,,12-5453,Middle School,77.00,,7,0,29,24, 5:05,,11,0,25,24, 4:28
191,191,,0.00,0.00,77.0,Middle School,191.0,05:31:57,3,,8,0,22,19, 5:25,CA,62.0,,12-2042,Middle School,77.00,,9,0,27,32, 5:31,,10,0,26,26, 5:22
192,192,,0.00,0.00,77.0,Middle School,192.0,05:50:00,3,,3,0,27,14, 5:36,CA,63.0,,12-3339,Middle School,77.00,,11,0,25,37, 5:46,,5,0,31,26, 5:35
193,193,,0.00,7.25,69.0,Middle School,193.0,05:06:55,3,,4,0,26,21, 5:06,RI,6.0,,12-5799,Middle School,76.25,,10,0,26,29, 4:35,,5,0,31,19, 5:02
194,194,,0.00,7.25,69.0,Middle School,194.0,05:56:03,3,,7,0,23,27, 5:54,CAN,3.0,,12-0704,Middle School,76.25,,10,0,26,24, 5:55,,10,0,26,18, 5:55
195,195,,0.00,10.14,66.0,Middle School,195.0,05:30:00,3,,6,0,24,25, 5:15,LA,2.0,,12-1668,Middle School,76.14,,9,0,27,21, 5:29,,6,0,30,20, 5:29
196,196,,0.00,8.00,68.0,Middle School,196.0,05:50:56,3,,8,0,22,29, 5:43,CO,14.0,,12-0034,Middle School,76.00,,9,0,27,21, 5:49,,8,0,28,18, 5:48
197,197,,0.00,9.00,67.0,Middle School,197.0,04:36:00,3,,9,0,21,22, 4:31,RI,7.0,,12-1073,Middle School,76.00,,11,0,25,25, 3:40,,10,0,26,20, 4:19
198,198,,0.00,0.00,76.0,Middle School,198.0,05:30:56,3,,11,0,19,32, 5:30,CA,64.0,,12-3430,Middle School,76.00,,10,0,26,18, 5:09,,9,0,27,26, 5:29
199,199,,0.00,0.00,76.0,Middle School,199.0,05:08:00,3,,13,0,17,40, 5:00,TN,1.0,,12-2782,Middle School,76.00,,5,0,31,8, 1:49,,11,0,25,28, 5:05
200,200,T,-3.00,18.50,60.0,Middle School,200.0,06:00:57,3,,8,0,22,25, 5:36,TX,16.0,,12-1472,Middle School,75.50,,6,0,30,16, 5:45,T,9,0,27,19, 6:00
201,201,,0.00,8.00,67.0,Middle School,201.0,05:45:56,3,,10,0,20,30, 5:37,MI,4.0,,12-1039,Middle School,75.00,,5,0,31,8, 5:33,,11,0,25,29, 5:45
202,202,,0.00,7.00,68.0,Middle School,202.0,05:58:57,3,,9,0,21,26, 5:58,CA,65.0,,12-5096,Middle School,75.00,,11,0,25,32, 5:56,,7,0,29,10, 5:54
203,203,,0.00,0.00,74.0,Middle School,203.0,04:59:01,3,,6,1,24,15, 4:54,GA,16.0,,12-1106,Middle School,74.00,,7,0,29,24, 4:59,,11,0,25,35, 4:56
204,204,,0.00,0.00,74.0,Middle School,204.0,05:54:56,3,,6,0,24,21, 5:52,TX,17.0,,12-5406,Middle School,74.00,,15,0,21,39, 5:54,,6,0,30,14, 5:52
205,205,,0.00,0.00,74.0,Middle School,205.0,05:57:57,3,,7,0,23,16, 5:47,TX,18.0,,12-1688,Middle School,74.00,,8,0,28,25, 5:57,,12,0,24,33, 5:55
206,206,,0.00,16.69,57.0,Middle School,206.0,05:06:56,3,,5,0,25,24, 5:06,AL,9.0,,12-0020,Middle School,73.69,,7,0,29,12, 5:05,,9,0,27,21, 5:05
207,207,,0.00,17.32,56.0,Middle School,207.0,04:26:56,3,,6,0,24,14, 4:22,CA,66.0,,12-0153,Middle School,73.32,,15,0,21,27, 4:16,,6,0,30,15, 4:08
208,208,,0.00,0.00,73.0,Middle School,208.0,05:48:56,3,,4,0,26,15, 5:47,FL,4.0,,12-3526,Middle School,73.00,,13,0,23,33, 5:47,,9,0,27,25, 5:46
209,209,,0.00,8.50,64.0,Middle School,209.0,04:32:56,3,,6,0,24,15, 4:13,CA,67.0,,12-4447,Middle School,72.50,,10,0,26,18, 4:32,,11,0,25,31, 4:31
210,210,,0.00,11.45,61.0,Middle School,210.0,05:54:59,3,,11,0,19,40, 5:54,NC,2.0,,12-2517,Middle School,72.45,,4,0,32,6, 5:54,,10,0,26,15, 5:53
211,211,,0.00,0.00,72.0,Middle School,211.0,05:11:00,3,,7,0,23,28, 5:10,LA,3.0,,12-1894,Middle School,72.00,,11,0,25,26, 5:10,,8,0,28,18, 5:10
212,212,,0.00,5.00,67.0,Middle School,212.0,05:09:01,3,,5,0,25,19, 5:08,GA,17.0,RMS,12-3744,Middle School,72.00,,15,0,21,38, 5:03,,8,0,28,10, 4:38
213,213,,0.00,8.00,64.0,Middle School,213.0,05:44:56,3,,3,0,27,8, 5:44,NV,3.0,,12-1572,Middle School,72.00,,15,0,21,27, 5:40,,13,0,23,29, 5:43
214,214,,0.00,8.00,64.0,Middle School,214.0,05:39:55,3,,10,1,20,29, 4:20,MD,7.0,,12-7293,Middle School,72.00,,5,0,31,8, 5:28,,10,0,26,27, 5:31
215,215,,0.00,0.00,72.0,Middle School,215.0,05:57:57,3,,5,0,25,22, 5:49,CA,68.0,,12-3342,Middle School,72.00,,2,0,34,16, 5:47,,9,0,27,34, 5:49
216,216,,0.00,4.00,68.0,Middle School,216.0,05:55:56,3,,9,0,21,32, 5:55,FL,5.0,,12-3215,Middle School,72.00,,6,0,30,16, 5:52,,10,0,26,20, 5:51
217,217,,0.00,12.69,59.0,Middle School,217.0,05:57:00,3,,3,0,27,8, 5:56,CA,69.0,,12-2859,Middle School,71.69,,13,0,23,30, 5:56,,11,0,25,21, 5:56
218,218,,0.00,5.50,66.0,Middle School,218.0,05:53:57,3,,4,2,26,5, 5:53,HI,7.0,,12-5081,Middle School,71.50,,14,0,22,30, 5:48,,7,0,29,31, 5:53
219,219,,0.00,14.24,57.0,Middle School,219.0,05:32:00,3,,6,0,24,14, 5:32,CT,1.0,,12-2035,Middle School,71.24,,13,1,23,22, 5:31,,10,0,26,21, 5:31
220,220,,0.00,15.19,56.0,Middle School,220.0,04:55:56,3,,6,0,24,20, 4:55,FL,6.0,,12-3221,Middle School,71.19,,4,0,32,11, 4:51,,9,0,27,25, 4:54
221,221,T,-3.00,0.00,74.0,Middle School,221.0,06:00:59,3,,6,0,24,25, 5:40,AL,10.0,,12-2316,Middle School,71.00,,13,0,23,29, 5:58,,8,0,28,20, 5:45
222,222,,0.00,8.00,62.0,Middle School,222.0,04:52:56,3,,9,0,21,29, 4:50,NM,1.0,,12-4675,Middle School,70.00,,13,0,23,24, 4:50,,6,0,30,9, 4:47
223,223,,0.00,12.88,57.0,Middle School,223.0,05:05:56,3,,8,0,22,30, 5:05,AL,11.0,,12-2758,Middle School,69.88,,4,0,32,6, 5:04,,8,0,28,21, 5:04
224,224,,0.00,15.53,54.0,Middle School,224.0,05:57:56,3,,7,0,23,22, 5:56,GA,18.0,,12-0876,Middle School,69.53,,4,0,32,6, 5:56,,9,0,27,26, 5:56
225,225,,0.00,3.50,66.0,Middle School,225.0,05:58:56,3,,9,0,21,20, 5:58,AL,12.0,,12-2811,Middle School,69.50,,9,0,27,26, 5:56,,10,0,26,20, 5:41
226,226,,0.00,0.00,69.0,Middle School,226.0,05:35:59,3,,9,0,21,32, 5:35,GA,19.0,LMS,12-3545,Middle School,69.00,,3,0,33,4, 5:35,,11,0,25,33, 5:35
227,227,,0.00,8.00,61.0,Middle School,227.0,05:38:00,3,,7,1,23,18, 5:36,AL,13.0,,12-0615,Middle School,69.00,,12,0,24,28, 5:38,,5,0,31,15, 4:24
228,228,,0.00,0.00,69.0,Middle School,228.0,05:53:01,3,,5,0,25,14, 5:50,TX,19.0,,12-6239,Middle School,69.00,,13,0,23,36, 5:52,,8,1,28,19, 5:51
229,229,,0.00,10.68,58.0,Middle School,229.0,05:53:00,3,,12,0,18,36, 5:51,TX,20.0,,12-2166,Middle School,68.68,,9,0,27,16, 5:52,,5,0,31,6, 5:51
230,230,,0.00,9.50,59.0,Middle School,230.0,05:59:12,3,,3,0,27,18, 5:45,VA,10.0,,12-3148,Middle School,68.50,,4,0,32,6, 3:21,,11,0,25,35, 3:09
231,231,,0.00,4.50,64.0,Middle School,231.0,04:52:55,3,,6,0,24,27, 4:52,RI,8.0,,12-2725,Middle School,68.50,,6,0,30,10, 4:30,,10,0,26,27, 4:50
232,232,,0.00,5.50,63.0,Middle School,232.0,05:36:09,3,,6,0,24,19, 5:33,PA,5.0,,12-5815,Middle School,68.50,,6,0,30,10, 5:35,,10,0,26,34, 5:36
233,233,T,-3.00,0.00,71.0,Middle School,233.0,06:00:59,3,,6,0,24,20, 5:43,OH,5.0,,12-2575,Middle School,68.00,,16,0,20,35, 5:54,,7,0,29,16, 5:44
234,234,,0.00,0.00,68.0,Middle School,234.0,05:56:01,3,,2,0,28,10, 5:36,AL,14.0,,12-2314,Middle School,68.00,,17,0,19,41, 5:56,,7,0,29,17, 5:37
235,235,,0.00,9.75,58.0,Middle School,235.0,02:35:57,3,,4,0,26,10, 2:15,CA,70.0,,12-1673,Middle School,67.75,,10,0,26,24, 2:27,,8,0,28,24, 2:25
236,236,,0.00,1.75,66.0,Middle School,236.0,05:50:56,3,,8,0,22,26, 5:50,AL,15.0,,12-0611,Middle School,67.75,,13,0,23,30, 5:45,,7,0,29,10, 2:59
237,237,,0.00,8.00,59.0,Middle School,237.0,05:07:56,3,,6,0,24,19, 5:05,TX,21.0,,12-1618,Middle School,67.00,,12,0,24,22, 4:08,,8,0,28,18, 4:44
238,238,,0.00,6.00,61.0,Middle School,238.0,04:56:56,3,,4,1,26,10, 4:56,FL,7.0,,12-5625,Middle School,67.00,,13,0,23,28, 4:55,,10,0,26,23, 4:56
239,239,,0.00,7.00,60.0,Middle School,239.0,05:27:11,3,,5,0,25,10, 5:02,CA,71.0,,12-5198,Middle School,67.00,,19,0,17,38, 5:27,,5,0,31,12, 4:26
240,240,M,-5.00,8.75,63.0,Middle School,240.0,05:47:00,3,,6,0,24,21, 5:46,IN,1.0,,12-6427,Middle School,66.75,,7,0,29,11, 5:38,M,9,0,27,31, 5:45
241,241,,0.00,6.75,60.0,Middle School,241.0,05:50:55,3,,2,0,28,5, 5:50,MI,5.0,,12-6169,Middle School,66.75,,11,0,25,32, 5:18,,10,0,26,23, 5:44
242,242,,0.00,7.25,59.0,Middle School,242.0,05:49:55,3,,3,1,27,2, 5:49,GA,20.0,GMS,12-0149,Middle School,66.25,,16,0,20,33, 5:27,,12,0,24,24, 5:46
243,243,,0.00,0.00,66.0,Middle School,243.0,05:04:00,3,,6,1,24,11, 4:41,CA,72.0,,12-0805,Middle School,66.00,,17,0,19,47, 5:03,,5,0,31,8, 4:36
244,244,,0.00,7.00,59.0,Middle School,244.0,05:55:56,3,,6,0,24,15, 5:51,AZ,2.0,,12-5713,Middle School,66.00,,7,0,29,12, 5:53,,15,0,21,32, 5:55
245,245,,0.00,14.91,51.0,Middle School,245.0,05:04:56,3,,5,0,25,24, 5:03,AL,16.0,,12-0022,Middle School,65.91,,4,0,32,11, 5:03,,6,0,30,16, 5:04
246,246,T,-3.00,11.36,57.0,Middle School,246.0,06:02:55,3,,8,0,22,30, 4:24,AL,17.0,,12-2809,Middle School,65.36,,4,0,32,13, 5:53,,6,0,30,14, 5:59
247,247,,0.00,7.12,58.0,Middle School,247.0,05:39:56,3,,9,0,21,34, 4:26,LA,4.0,,12-1783,Middle School,65.12,,10,1,26,18, 3:56,,8,1,28,6, 5:38
248,248,,0.00,0.00,65.0,Middle School,248.0,05:37:56,3,,5,0,25,16, 5:31,TX,22.0,,12-2762,Middle School,65.00,,14,0,22,40, 5:30,,7,0,29,9, 5:37
249,249,,0.00,7.42,57.0,Middle School,249.0,05:55:55,3,,3,0,27,7, 5:51,FL,8.0,,12-0527,Middle School,64.42,,16,0,20,35, 5:39,,5,0,31,15, 5:40
250,250,,0.00,1.25,63.0,Middle School,250.0,05:45:56,3,,8,0,22,26, 5:42,AL,18.0,,12-0613,Middle School,64.25,,9,0,27,22, 5:45,,10,0,26,15, 4:23
251,251,,0.00,0.00,64.0,Middle School,251.0,04:45:59,3,,11,0,19,32, 4:23,OH,6.0,,12-1188,Middle School,64.00,,6,0,30,11, 4:45,,10,0,26,21, 4:23
252,252,,0.00,0.00,64.0,Middle School,252.0,05:31:57,3,,8,0,22,31, 5:27,HI,8.0,,12-7036,Middle School,64.00,,0,0,36,0, 5:30,,9,0,27,33, 4:37
253,253,T,-3.00,9.00,58.0,Middle School,253.0,06:01:07,3,,6,0,24,15, 2:26,FL,9.0,,12-1151,Middle School,64.00,,13,0,23,23, 6:00,,9,0,27,20, 4:29
254,254,,0.00,17.92,46.0,Middle School,254.0,02:45:59,3,,2,0,28,4, 2:11,CA,73.0,,12-1594,Middle School,63.92,,10,0,26,17, 2:39,,9,0,27,25, 2:30
255,255,,0.00,10.46,52.0,Middle School,255.0,05:50:58,3,,5,0,25,13, 5:48,TX,23.0,,12-2164,Middle School,62.46,,4,0,32,12, 5:49,,10,0,26,27, 5:22
256,256,,0.00,0.00,62.0,Middle School,256.0,04:55:57,2,,6,0,24,22, 4:51,MO,7.0,,12-1165,Middle School,62.00,,,,,,,,13,0,23,40, 4:55
257,257,,0.00,6.00,56.0,Middle School,257.0,05:51:56,3,,7,0,23,28, 5:51,TX,24.0,,12-5428,Middle School,62.00,,5,0,31,14, 5:50,,6,0,30,14, 5:50
258,258,,0.00,11.96,50.0,Middle School,258.0,05:25:59,3,,5,0,25,12, 4:12,MD,8.0,,12-4125,Middle School,61.96,,9,0,27,21, 2:20,,8,0,28,17, 4:32
259,259,,0.00,9.39,52.0,Middle School,259.0,04:45:56,3,,8,0,22,21, 4:45,LA,5.0,,12-1784,Middle School,61.39,,5,0,31,13, 4:44,,8,0,28,18, 4:44
260,260,,0.00,4.25,57.0,Middle School,260.0,05:35:00,3,,9,0,21,22, 3:13,TX,25.0,,12-0798,Middle School,61.25,,14,0,22,25, 5:34,,7,0,29,10, 2:53
